od_1,od_2,od_3,od_4,od_5,od_6,od_7,od_8,od_9,od_10,od_id,mb_id,od_name,od_email,od_tel,od_hp,od_zip1,od_zip2,od_addr1,od_addr2,od_addr3,od_addr_jibeon,od_deposit_name,od_b_name,od_b_tel,od_b_hp,od_b_zip1,od_b_zip2,od_b_addr1,od_b_addr2,od_b_addr3,od_b_addr_jibeon,od_memo,od_cart_count,od_cart_price,od_cart_coupon,od_send_cost,od_send_cost2,od_send_coupon,od_receipt_price,od_cancel_price,od_receipt_point,od_refund_price,od_bank_account,od_receipt_time,od_coupon,od_misu,od_shop_memo,od_mod_history,od_status,od_hope_date,od_settle_case,od_other_pay_type,od_test,od_mobile,od_pg,od_tno,od_app_no,od_escrow,od_casseqno,od_tax_flag,od_tax_mny,od_vat_mny,od_free_mny,od_delivery_company,od_invoice,od_invoice_time,od_cash,od_cash_no,od_cash_info,od_time,od_pwd,od_ip
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025123018232293,admin,강태현,,bri,bri,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,,bri,bri,bri,,,bri,bri,bri,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,150000,0,0,0,삼성카드,2025-12-09 10:12:58,0,0,,,입금,None,신용카드,,1,1,kcp,25994014200877,68484028,0,,0,90909,9091,0,0,,None,0,,,2025-12-09 10:12:44,sha256:12000:oi7DW1mhpegEVk836iuEIhEMxgALvyAN:N+B2sqdo3LCFsEiJ7znjzTrSJIbRw8O+,210.117.124.191
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025123018332546,admin,한소영,,bri,bri,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,,ㅇㅇㅇㅇ,bri,bri,,,bri,bri,bri,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,80000,0,0,0,삼성카드,2025-12-10 13:55:28,0,0,,,입금,None,신용카드,,1,1,kcp,25994014201061,32622266,0,,0,90909,9091,0,0,,None,0,,,2025-12-10 13:55:17,sha256:12000:oi7DW1mhpegEVk836iuEIhEMxgALvyAN:N+B2sqdo3LCFsEiJ7znjzTrSJIbRw8O+,210.117.124.191
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025123018394201,admin,최동욱,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,25000,0,0,0,삼성카드,2025-12-11 15:20:45,0,0,,,입금,None,신용카드,,1,0,kcp,25994014201186,28106383,0,,0,90909,9091,0,0,,None,0,,,2025-12-11 15:20:33,sha256:12000:oi7DW1mhpegEVk836iuEIhEMxgALvyAN:N+B2sqdo3LCFsEiJ7znjzTrSJIbRw8O+,172.18.0.3
100000,,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,,개인기부,2025123110461170,admin,정수진,honggildong@gmail.com,010-9313-5057,010-9313-5057,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,,홍길동,010-9313-5057,010-9313-5057,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,120000,0,0,0,삼성카드,2025-12-12 11:31:12,0,0,,,입금,None,신용카드,,1,0,kcp,25615014266143,84606010,0,,0,90909,9091,0,0,,None,0,,,2025-12-12 11:30:55,sha256:12000:oi7DW1mhpegEVk836iuEIhEMxgALvyAN:N+B2sqdo3LCFsEiJ7znjzTrSJIbRw8O+,172.18.0.3
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025123111283739,,박준호,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,박준호,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,75000,0,0,0,농협 848-01-003406 예금주 국립창원대학교발전기금재단,None,0,75000,,,주문,None,무통장,,1,0,kcp,,,0,,0,90909,9091,0,0,,None,0,,,2025-12-13 16:45:28,sha256:12000:wEb+SHprp07fGr5ZGcy4mbmG+vjqIlUK:QPJcS+xmGzrnnJC4/DqK5vn4gSujYagO,172.18.0.3
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025123111345737,baraem,이영희,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,이영희,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,30000,0,0,0,농협 848-01-003406 예금주 국립창원대학교발전기금재단,None,0,30000,,,주문,None,무통장,,1,0,kcp,,,0,,0,90909,9091,0,0,,None,0,,,2025-12-14 09:15:42,sha256:12000:KtrL3SG2jtDU5Lm7ix7WH0jJsfTxzD3I:ik3jCds/tZmuuQVHQVIKY6dVHoS97eh9,172.18.0.3
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025123113031472,admin,김민수,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,김민수,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,50000,0,0,0,농협 848-01-003406 예금주 국립창원대학교발전기금재단,None,0,50000,,,주문,None,무통장,,1,0,kcp,,,0,,0,90909,9091,0,0,,None,0,,,2025-12-15 14:23:15,sha256:12000:oi7DW1mhpegEVk836iuEIhEMxgALvyAN:N+B2sqdo3LCFsEiJ7znjzTrSJIbRw8O+,210.117.124.191
100000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2025123115214583,admin,홍길동,honggildong@gmail.com,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,,홍길동,010-1234-5678,010-1234-5678,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,100000,0,0,0,0,100000,0,0,0,삼성카드,2025-12-31 15:24:34,0,0,,,입금,None,신용카드,,1,0,kcp,25615014276584,31060308,0,,0,90909,9091,0,0,,None,0,,,2025-12-31 15:24:34,sha256:12000:oi7DW1mhpegEVk836iuEIhEMxgALvyAN:N+B2sqdo3LCFsEiJ7znjzTrSJIbRw8O+,211.57.11.233
10000,,1990. 01. 01,,동문,,,,,개인기부,2026012218365037,testuser2025,테스트사용자,acttoz@naver.com,010-9313-5057,010-9313-5057,,,,테스트 주소 123,,,,테스트사용자,010-9313-5057,010-9313-5057,,,,테스트 주소 123,,,,1,10000,0,0,0,0,10000,0,0,0,삼성카드,2026-01-22 18:40:36,0,0,,,입금,None,신용카드,,1,0,kcp,26652017095687,78173062,0,,0,9091,909,0,0,,None,0,,,2026-01-22 18:40:34,sha256:12000:NV9TIeC5P2duaK7uLjPHCFCz55rFQZeF:FKoUlhwDdRv2XyVe4MF9XLxdh/phhXRo,172.20.0.2
10000,(주)창원기업,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,123-45-67890,법인기부,2026012218573178,testuser2025,홍길동,acttoz@naver.com,055-1234-5678,010-9313-5057,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,,홍길동,055-1234-5678,010-9313-5057,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,10000,0,0,0,0,10000,0,0,0,삼성카드,2026-01-22 18:59:38,0,0,,,입금,None,신용카드,,1,0,kcp,26652017098037,01324383,0,,0,9091,909,0,0,,None,0,,,2026-01-22 18:59:35,sha256:12000:NV9TIeC5P2duaK7uLjPHCFCz55rFQZeF:FKoUlhwDdRv2XyVe4MF9XLxdh/phhXRo,172.20.0.2
10000,,1990. 01. 01,,동문,,,기부금이 잘 활용되기를 바랍니다.,,개인기부,2026012221271906,,홍길동,acttoz@naver.com,055-1234-5678,010-9313-5057,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,,홍길동,055-1234-5678,010-9313-5057,511,40,경남 창원시 의창구 창원대학로 20,대학본부 1313호,,,국립창원대학교의 발전을 응원합니다. 더 나은 미래를 만들어가시길 바랍니다.,1,10000,0,0,0,0,10000,0,0,0,삼성카드,2026-01-22 21:29:03,0,0,,,입금,None,신용카드,,1,0,kcp,26652017119987,07345646,0,,0,9091,909,0,0,,None,0,,,2026-01-22 21:29:02,sha256:12000:XdDhC8fGB3FZtLvmRu2ute7W9oUi0Qkw:dxhjJZrny7txHKhBbI0jr4O76hk5BQD3,172.20.0.2
